\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_30387_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:14:20 2006"               
\STOP_DATE = "Mon Nov 24, 09:41:52 2008"               
\fixlen = T
\NUMRECORDS = 636      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 14:56:02 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.801624 15.78003 0.02550 
 2454035.807087 15.78415 0.02288 
 2454036.798240 15.75794 0.02723 
 2454036.803704 15.74159 0.02377 
 2454036.809169 15.76944 0.02384 
 2454037.795786 15.76208 0.02381 
 2454037.801249 15.76942 0.02126 
 2454037.806713 15.77472 0.02167 
 2454038.792338 15.76950 0.02424 
 2454038.797802 15.73802 0.02058 
 2454038.803268 15.75611 0.02077 
 2454039.791659 15.81406 0.03093 
 2454040.787894 15.70886 0.03782 
 2454040.793357 15.78717 0.05005 
 2454048.763772 15.71668 0.03503 
 2454048.769135 15.80426 0.05613 
 2454048.774497 15.67825 0.03355 
 2454048.779858 15.69594 0.03213 
 2454048.785220 15.66998 0.03341 
 2454050.758673 15.74021 0.03245 
 2454050.764039 15.73832 0.02792 
 2454050.769401 15.74837 0.02851 
 2454050.774769 15.73730 0.02862 
 2454052.754623 15.66384 0.02997 
 2454052.759990 15.75996 0.02433 
 2454052.765352 15.66340 0.02578 
 2454052.770718 15.74221 0.02429 
 2454052.776079 15.63686 0.02546 
 2454053.752970 15.73267 0.02528 
 2454053.758334 15.92140 0.03882 
 2454053.763702 15.74999 0.02229 
 2454053.769071 15.74238 0.02262 
 2454053.774440 15.72469 0.02352 
 2454054.749511 15.68648 0.02484 
 2454054.754881 15.78137 0.03049 
 2454054.760251 15.70457 0.02213 
 2454054.765622 15.70212 0.02167 
 2454054.770991 15.67339 0.02222 
 2454055.743769 15.72141 0.02487 
 2454055.749136 15.79858 0.03657 
 2454055.754507 15.66713 0.02204 
 2454055.759876 15.69956 0.02159 
 2454055.765239 15.69878 0.02181 
 2454055.770608 15.69841 0.02144 
 2454056.744425 15.72668 0.02777 
 2454056.749793 15.74044 0.02432 
 2454056.755157 15.76963 0.02351 
 2454056.760525 15.69399 0.02459 
 2454056.765893 15.72884 0.02382 
 2454057.739446 15.73572 0.02771 
 2454057.744816 15.76902 0.03729 
 2454057.750186 15.72332 0.02559 
 2454057.755548 15.70639 0.02617 
