\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.702806 15.69988 0.02604 
 2454034.707429 15.76066 0.02567 
 2454034.712051 15.75867 0.02512 
 2454034.716671 15.78905 0.02436 
 2454034.721292 15.75856 0.02518 
 2454034.726756 15.76028 0.02438 
 2454034.732219 15.75287 0.02417 
 2454034.734407 15.78449 0.02417 
 2454034.739028 15.74602 0.02399 
 2454034.743647 15.78211 0.02357 
 2454034.748268 15.72588 0.02518 
 2454034.752889 15.72259 0.02421 
 2454034.757509 15.74848 0.02566 
 2454034.762129 15.68087 0.02357 
 2454034.766748 15.74772 0.02308 
 2454034.771369 15.72307 0.02347 
 2454034.775989 15.70897 0.02351 
 2454034.780609 15.72942 0.02407 
 2454034.794465 15.75244 0.02466 
 2454034.799085 15.71577 0.02346 
 2454035.696513 15.77253 0.02478 
 2454035.701133 15.77507 0.02488 
 2454035.705755 15.74449 0.02521 
 2454035.710375 15.79090 0.02491 
 2454035.714997 15.77848 0.02514 
 2454035.719617 15.76447 0.02484 
 2454035.725078 15.77245 0.02484 
 2454035.727266 15.77778 0.02510 
 2454035.731887 15.76088 0.02485 
 2454035.736509 15.75877 0.02531 
 2454035.741132 15.76821 0.02513 
 2454035.745754 15.81769 0.02493 
 2454035.750374 15.72181 0.02508 
 2454035.754994 15.76465 0.02439 
 2454035.759615 15.78294 0.02439 
 2454035.764237 15.76968 0.02330 
 2454035.768857 15.79040 0.02347 
 2454035.773477 15.76263 0.02424 
 2454035.778097 15.72690 0.02323 
 2454035.782718 15.81423 0.02317 
 2454035.787339 15.76743 0.02375 
 2454035.791961 15.78446 0.02327 
 2454035.796582 15.77031 0.02335 
 2454036.696920 15.68945 0.02802 
 2454036.701539 15.73028 0.02542 
 2454036.706160 15.68965 0.02518 
 2454036.710780 15.75091 0.02529 
 2454036.715400 15.74802 0.02499 
 2454036.720864 15.70819 0.02492 
 2454036.726326 15.74537 0.02524 
 2454036.728514 15.73305 0.02561 
 2454036.733133 15.75342 0.02864 
 2454036.737752 15.74527 0.02476 
 2454036.742372 15.71091 0.02478 
 2454036.746991 15.73967 0.02522 
 2454036.751613 15.71937 0.02478 
 2454036.756233 15.72905 0.02614 
 2454036.760853 15.76152 0.02495 
 2454036.765473 15.74174 0.02446 
 2454036.770095 15.72129 0.02557 
 2454036.774716 15.70824 0.02649 
 2454036.779336 15.71890 0.03016 
 2454036.783956 15.78662 0.02310 
 2454036.788577 15.72457 0.02484 
 2454036.793198 15.75201 0.02448 
 2454037.690664 15.75125 0.02439 
 2454037.695285 15.78760 0.02426 
 2454037.699905 15.77411 0.02311 
 2454037.704526 15.75723 0.02870 
 2454037.709147 15.73939 0.02269 
 2454037.713769 15.70301 0.02405 
 2454037.719234 15.70454 0.02365 
 2454037.721422 15.74431 0.02284 
 2454037.726043 15.71159 0.02302 
 2454037.730664 15.75992 0.02235 
 2454037.735286 15.70544 0.02184 
 2454037.739908 15.69643 0.02190 
 2454037.744530 15.71653 0.02159 
 2454037.749150 15.73470 0.02185 
 2454037.753771 15.75341 0.02159 
 2454037.758392 15.75132 0.02165 
 2454037.763014 15.69193 0.02145 
 2454037.767636 15.75950 0.02105 
 2454037.772257 15.76355 0.02094 
 2454037.776879 15.76378 0.02076 
 2454037.781500 15.73108 0.02136 
 2454037.786122 15.71885 0.02096 
 2454037.790743 15.73385 0.02135 
 2454038.741089 15.75135 0.02323 
 2454038.745710 15.76881 0.02317 
 2454038.750331 15.69566 0.02366 
 2454038.764192 15.71340 0.02231 
 2454038.773433 15.75409 0.02233 
 2454038.778055 15.74055 0.02960 
 2454038.782676 15.69722 0.02177 
 2454038.787297 15.78670 0.02017 
 2454039.721933 15.75340 0.03172 
 2454039.726552 15.80622 0.03157 
 2454039.731172 15.74660 0.03132 
 2454039.749653 15.73252 0.03109 
 2454039.754274 15.78487 0.03120 
 2454039.758896 15.80798 0.03112 
 2454039.763516 15.78272 0.03105 
 2454039.768137 15.75231 0.03180 
