# JD - 2443000
jd,vmag
725.326,11.7 
725.347,11.68
726.305,11.7 
726.320,11.7 
726.361,11.72
727.311,11.77
727.329,11.77
728.306,11.87
728.326,11.89
729.308,11.59
729.335,11.36
729.352,11.31
729.362,11.20
730.280,11.79
730.302,11.82
730.340,11.82
731.337,11.75
731.348,11.73
732.345,11.60
732.360,11.58
733.323,11.57
733.341,11.55
733.335,11.56
734.312,11.64
734.320,11.67
734.337,11.70
735.309,11.76
735.331,11.80
735.335,11.80
736.285,11.80
736.308,11.79
736.315,11.79
736.334,11.81
736.339,11.81
737.298,11.69
737.346,11.65
745.347,11.54
746.347,11.62
747.381,11.58
750.293,11.65
750.318,11.64
751.299,11.54
752.314,11.29
753.317,11.63













































