# JD - 2447000
# combined tables 1 & 2
jd,vmag
2.52,11.7
13.51,11.66
14.52,11.62
33.54,11.77
39.47,11.96
40.49,12.01
41.48,11.92
42.50,12.03
44.47,11.89
54.45,12.15
57.46,11.81
90.45,12.16
91.42,11.84
162.17,11.74
163.21,11.76
168.21,12.33
407.39,12.08
051.35,11.97
051.37,11.95
052.35,11.91
052.37,11.91
057.34,11.83
088.23,11.78
091.26,11.93
102.24,11.71
111.30,11.68
113.24,11.66
114.35,12.5
116.25,12.34
146.10,11.72
744.42,11.64
745.41,11.65
746.39,11.64
747.38,11.66
748.36,11.65
749.37,11.69
750.38,11.65
752.39,11.71
753.36,11.64
754.41,11.63
755.37,11.64
756.41,11.64
772.23,11.64
773.47,13.67
774.21,12.46
774.43,11.99
775.30,11.70
776.22,11.66
777.19,11.66
778.21,11.65
779.19,11.66
780.21,11.60
781.19,11.65
782.19,11.65
783.19,11.62
784.19,11.61
785.31,11.68
786.16,11.87
787.23,11.66
788.18,11.71
789.22,11.90
800.27,11.68














































