# JD - 2400000
jd,vmag
56157.448,11.620
56160.317,11.623
56176.241,11.899
56193.160,11.627
56193.437,11.969
56194.183,12.124
56194.459,11.830
56195.186,11.887
56195.501,11.891
56198.221,11.599
56198.460,11.598
56199.301,11.580
56224.167,11.674
56340.084,11.402
56342.103,11.391
56520.284,11.617
56524.446,11.568
56526.217,11.570
56528.258,11.606
56559.128,12.382
56559.346,11.948
56560.131,11.574
56560.436,11.582
56561.385,11.607
56564.453,11.525
56565.444,11.543
56566.443,11.531
56569.446,11.572
56570.443,11.544
56608.106,11.571
56610.106,12.005
56614.095,11.794
56618.093,12.025
56624.143,11.848
