JD,mag,obs
 2446354.1000000000931323,     12.0000000,KOA
 2446380.0000000000000000,     11.8000002,KOA
 2446405.0000000000000000,     11.8000002,KOA
 2446712.1000000000931323,     11.6999998,KOA
 2446718.0000000000000000,     11.6999998,KOA
 2446738.8999999999068677,     11.6000004,KOA
 2446740.8999999999068677,     11.6000004,KOA
 2446746.0000000000000000,     11.6000004,KOA
 2446755.0000000000000000,     11.6999998,KOA
 2446757.8999999999068677,     11.6999998,KOA
 2446760.8999999999068677,     11.6999998,KOA
 2446785.0000000000000000,     11.6000004,KOA
 2446788.8999999999068677,     11.6999998,KOA
 2446794.0000000000000000,     11.5000000,KOA
 2446796.8999999999068677,     11.6000004,KOA
 2446800.0000000000000000,     11.6000004,KOA
 2446823.8999999999068677,     11.6999998,KOA
 2447819.9700000002048910,     11.5000000,KOA
 2450801.4300000001676381,     11.6999998,KTO
 2450803.2400000002235174,     11.6999998,KTO
 2450804.3399999998509884,     13.0000000,KTO
 2450825.1800000001676381,     11.6999998,KTO
 2450842.3199999998323619,     11.6000004,KTO
 2450846.2400000002235174,     11.6000004,KTO
 2450851.2299999999813735,     11.3999996,KTO
 2450855.2200000002048910,     11.3000002,KTO
 2450856.2000000001862645,     11.3000002,KTO
 2450861.2299999999813735,     11.3999996,KTO
 2450862.2200000002048910,     11.6000004,KTO
 2450867.2200000002048910,     11.6000004,KTO
 2450873.2299999999813735,     11.5000000,KTO
 2450875.2200000002048910,     11.6999998,KTO
 2450876.2200000002048910,     11.6000004,KTO
 2450879.2400000002235174,     11.6000004,KTO
 2450883.2299999999813735,     11.6999998,KTO
 2450884.2299999999813735,     11.5000000,KTO
 2451031.4599999999627471,     11.3999996,KTO
 2451032.4399999999441206,     11.6000004,KTO
 2451043.4700000002048910,     11.8000002,KTO
 2451049.3900000001303852,     11.8000002,KTO
 2451050.4100000001490116,     11.8999996,KTO
 2451052.3900000001303852,     12.1999998,KTO
 2451053.5099999997764826,     11.6000004,KTO
 2451055.4300000001676381,     11.8000002,KTO
 2451406.4799999999813735,     11.8999996,KTO
 2451409.4700000002048910,     11.8999996,KTO
 2451413.4300000001676381,     11.8000002,KTO
 2451415.4599999999627471,     11.8000002,KTO
 2451416.5499999998137355,     11.8000002,KTO
 2451421.4399999999441206,     11.8000002,KTO
 2451425.5600000000558794,     11.8000002,KTO
 2451429.4399999999441206,     11.8000002,KTO
 2451430.3999999999068677,     11.8000002,KTO
 2451432.5200000000186265,     11.8000002,KTO
 2451433.4199999999254942,     11.8000002,KTO
 2451434.3999999999068677,     13.1999998,KTO
 2451434.5600000000558794,     12.5000000,KTO
 2451435.5400000000372529,     11.6999998,KTO
 2451436.5400000000372529,     11.8000002,KTO
 2451437.5299999997951090,     11.6999998,KTO
 2451440.3300000000745058,     11.6999998,KTO
 2451447.5299999997951090,     11.8000002,KTO
 2451462.3100000000558794,     11.8000002,KTO
 2451468.3199999998323619,     11.8000002,KTO
 2451479.2999999998137355,     11.8000002,KTO
 2451481.3399999998509884,     11.6999998,KTO
 2451484.2500000000000000,     11.8000002,KTO
 2451485.2400000002235174,     11.8000002,KTO
 2451493.2099999999627471,     11.8000002,KTO
 2451509.2599999997764826,     11.8000002,KTO
 2451513.1699999999254942,     11.8000002,KTO
 2451515.2200000002048910,     11.8000002,KTO
 2451521.3100000000558794,     11.6999998,KTO
 2451534.2799999997951090,     11.8000002,KTO
 2451549.1299999998882413,     11.8000002,KTO
 2451568.1800000001676381,     11.8000002,KTO
 2451783.5400000000372529,     11.6999998,KTO
 2451785.5499999998137355,     11.6000004,KTO
 2451789.4399999999441206,     11.6000004,KTO
 2451790.4599999999627471,     11.6000004,KTO
 2451794.5499999998137355,     11.6000004,KTO
 2451797.3999999999068677,     11.8000002,KTO
 2451799.5400000000372529,     11.6000004,KTO
 2451801.5499999998137355,     11.6999998,KTO
 2451802.5299999997951090,     11.6000004,KTO
 2451804.5499999998137355,     11.6999998,KTO
 2451805.5499999998137355,     11.6000004,KTO
 2451811.5400000000372529,     11.6000004,KTO
 2451813.3500000000931323,     11.6000004,KTO
 2451814.4199999999254942,     11.6000004,KTO
 2451815.4199999999254942,     11.6000004,KTO
 2451816.5099999997764826,     11.6000004,KTO
 2451818.5099999997764826,     11.6999998,KTO
 2451819.5099999997764826,     11.5000000,KTO
 2451824.3700000001117587,     11.6999998,KTO
 2451840.4399999999441206,     11.6999998,KTO
 2451954.2829999998211861,     12.1000004,MUY
 2451954.2889000000432134,     11.6999998,RMQ
 2451955.2582999998703599,     11.6999998,RMQ
 2451956.2740000002086163,     11.6000004,MUY
 2451959.2688000001944602,     11.6999998,RMQ
 2451959.2850000001490116,     11.6000004,MUY
 2451964.2740000002086163,     11.6999998,MUY
 2451965.2659999998286366,     11.8000002,RMQ
 2451965.2799999997951090,     11.6999998,MUY
 2451968.2610999997705221,     11.6000004,RMQ
 2452123.5534999999217689,     11.6999998,RMQ
 2452133.4604000002145767,     11.6999998,MUY
 2452133.4992999997921288,     11.6999998,RMQ
 2452136.4514000001363456,     11.6999998,MUY
 2452136.4646000000648201,     11.6999998,RMQ
 2452137.4667000002227724,     11.6999998,RMQ
 2452138.4742999998852611,     11.6999998,MUY
 2452142.4500000001862645,     11.6999998,MUY
 2452143.4207999999634922,     11.6999998,MUY
 2452144.4728999999351799,     11.6999998,RMQ
 2452147.4396000001579523,     11.6999998,MUY
 2452148.4347000000998378,     11.6999998,RMQ
 2452149.4610999999567866,     11.6999998,MUY
 2452151.4221999999135733,     11.6999998,MUY
 2452151.4950999999418855,     11.8000002,RMQ
 2452161.4089999999850988,     11.6999998,MUY
 2452171.4660000000149012,     11.6999998,RMQ
 2452172.4306000000797212,     11.8000002,RMQ
 2452175.4931000000797212,     11.6999998,MUY
 2452176.3840000000782311,     11.6999998,MUY
 2452178.3728999998420477,     11.6999998,MUY
 2452180.3667000001296401,     11.6999998,MUY
 2452189.4575999998487532,     11.6999998,MUY
 2452191.3742999997921288,     11.8000002,MUY
 2452192.3569000000134110,     11.8000002,MUY
 2452193.3138999999500811,     11.8000002,MUY
 2452194.4082999997772276,     11.6999998,MUY
 2452202.2500000000000000,     11.6000004,KTO
 2452204.3319000001065433,     11.6999998,MUY
 2452205.2299999999813735,     11.6999998,KTO
 2452206.3298999997787178,     11.6999998,MUY
 2452207.3736000000499189,     11.6999998,MUY
 2452212.2200000002048910,     11.6999998,KTO
 2452218.3235999997705221,     11.6999998,MUY
 2452219.3590000001713634,     11.6999998,MUY
 2452223.3700999999418855,     11.6999998,MUY
 2452224.3250000001862645,     11.6999998,MUY
 2452228.4152999999932945,     11.5000000,MUY
 2452229.3708000001497567,     11.6999998,MUY
 2452236.3714999998919666,     11.6999998,MUY
 2452308.2610999997705221,     11.8000002,RMQ
 2452308.2798999999649823,     11.6999998,MUY
 2452311.3235999997705221,     11.6999998,MUY
 2452315.3742999997921288,     11.6999998,MUY
 2452320.3042000001296401,     11.5000000,MUY
 2452321.2590000000782311,     11.6999998,RMQ
 2452321.3103999998420477,     11.5000000,MUY
 2452322.2722000000067055,     11.6999998,RMQ
 2452322.2902999999932945,     11.5000000,MUY
 2452323.2965000001713634,     11.5000000,MUY
 2452324.2875000000931323,     11.6000004,MUY
 2452329.3020999999716878,     11.6000004,MUY
 2452333.2985999998636544,     11.6000004,MUY
 2452334.3097000000998378,     11.6999998,MUY
 2452335.2916999999433756,     11.6999998,MUY
 2452343.2861000001430511,     11.6999998,MUY
 2452497.3999999999068677,     11.6000004,KTO
 2452497.5153000000864267,     11.6000004,MUY
 2452500.4035000000149012,     11.6000004,MUY
 2452501.4438000000081956,     11.6000004,MUY
 2452502.3785000001080334,     11.6000004,MUY
 2452504.4589999997988343,     11.6000004,MUY
 2452506.4100000001490116,     11.5000000,KTO
 2452509.3999999999068677,     11.5000000,KTO
 2452516.4201000002212822,     11.6000004,MUY
 2452517.4382000002078712,     11.6999998,MUY
 2452518.4160000002011657,     11.6999998,MUY
 2452519.3799999998882413,     11.5000000,KTO
 2452519.4278000001795590,     11.6999998,MUY
 2452520.3599999998696148,     11.6000004,KTO
 2452520.4229000001214445,     11.6000004,MUY
 2452521.3599999998696148,     11.6000004,KTO
 2452521.4201000002212822,     11.6000004,MUY
 2452522.4188000001013279,     11.6000004,MUY
 2452524.3964999997988343,     11.6000004,MUY
 2452527.3938000001944602,     11.6000004,MUY
 2452528.4076000000350177,     11.6000004,MUY
 2452530.3993000001646578,     11.6000004,MUY
 2452530.5200000000186265,     11.6000004,KTO
 2452531.3791999998502433,     11.6000004,MUY
 2452533.4021000000648201,     11.6000004,MUY
 2452540.3791999998502433,     11.6000004,MUY
 2452541.3993000001646578,     11.6000004,MUY
 2452542.3791999998502433,     11.6000004,MUY
 2452544.4399999999441206,     11.8000002,KTO
 2452545.4353999998420477,     11.6000004,MUY
 2452546.3950999998487532,     11.6000004,MUY
 2452547.3639000002294779,     11.6000004,MUY
 2452548.3700999999418855,     11.6999998,MUY
 2452580.6313000000081956,     11.6999998,MUY
 2452582.3354000002145767,     11.8000002,MUY
 2452583.4563000001944602,     11.8000002,MUY
 2452586.4035000000149012,     11.8000002,MUY
 2452588.3805999998003244,     11.6000004,MUY
 2452590.2785000000149012,     11.8000002,MUY
 2452591.4298999998718500,     11.5000000,MUY
 2452593.3563000001013279,     11.6000004,MUY
 2452600.3846999998204410,     11.6000004,MUY
 2452601.2902999999932945,     11.6000004,MUY
 2452603.2993000000715256,     11.6000004,MUY
 2452608.3388999998569489,     11.6000004,MUY
 2452610.3506999998353422,     11.8000002,MUY
 2452614.3325999998487532,     11.6000004,MUY
 2452617.3396000000648201,     11.6000004,MUY
 2452618.3075999999418855,     11.5000000,MUY
 2452619.3278000000864267,     11.6000004,MUY
 2452620.2771000000648201,     11.5000000,MUY
 2452627.2722000000067055,     11.6000004,MUY
 2452634.4111000001430511,     11.6000004,MUY
 2452635.3207999998703599,     11.6000004,MUY
 2452642.3736000000499189,     11.6000004,MUY
 2452644.3256999999284744,     11.6000004,MUY
 2452645.3305999999865890,     11.6000004,MUY
 2452648.3180999998003244,     11.3999996,MUY
 2452649.2979000001214445,     11.5000000,MUY
 2452650.3097000000998378,     11.6000004,MUY
 2452655.3624999998137355,     11.6000004,MUY
 2452656.3382000001147389,     11.6000004,MUY
 2452659.2486000000499189,     11.6000004,MUY
 2452661.3242999999783933,     11.6000004,MUY
 2452663.3160000001080334,     11.5000000,MUY
 2452664.3117999997921288,     11.5000000,MUY
 2452665.3007000000216067,     11.5000000,MUY
 2452667.3799000000581145,     11.5000000,MUY
 2452669.3062999998219311,     11.5000000,MUY
 2452671.3166999998502433,     11.3999996,MUY
 2452674.2694000001065433,     11.3999996,MUY
 2452676.2902999999932945,     11.3999996,MUY
 2452680.3138999999500811,     11.5000000,MUY
 2452685.2938000001013279,     12.0000000,MUY
 2452687.2847000001929700,     12.3000002,MUY
 2452688.2861000001430511,     11.8000002,MUY
