# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2446354.1      12.0        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446380.0      11.8        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446405.0      11.8        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446712.1      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446718.0      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446738.9      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446740.9      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446746.0      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446755.0      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446757.9      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446760.9      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446785.0      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446788.9      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446794.0      11.5        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446796.9      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446800.0      11.6        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2446823.9      11.7        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2447819.97     11.5        ""            ""              Vis. KOA  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450801.43     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450803.24     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450804.34     13.0        ""            ""              Vis. KTO  Y  ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450825.18     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450842.32     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450846.24     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450851.23     11.4        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450855.22     11.3        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450856.2      11.3        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2450861.23     11.4        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
