JD,Magnitude,Observer Code
2454092.3,11.57,BOA
2455123.559,11.8,PYG
2455127.54722,11.66,MUY
2455127.561,11.66,PYG
2455130.622,11.69,PYG
2455139.51736,11.68,MUY
2455139.522,11.66,PYG
2455149.518,11.62,PYG
2455170.474,11.88,PYG
2455199.43,11.66,PYG
2455215.368,11.79,PYG
2455217.485,11.62,PYG
2455218.44,11.6,PYG
2455219.46,11.63,PYG
2455222.479,11.69,PYG
2455463.708,11.62,PYG
2455474.626,11.79,PYG
2455486.611,11.77,PYG
2455491.564,11.99,PYG
2455496.542,11.76,PYG
2455498.528,11.69,PYG
2455499.59,11.44,PYG
2455500.91667,11.71,PYG
2455510.552,11.73,PYG
2455512.542,11.73,PYG
2455513.572,11.75,PYG
2455794.83909,11.763,MZK
2455797.83843,11.616,MZK
2455835.74675,11.626,BPEA
2455906.57672,11.671,MZK
2456130.88601,12.207,ROE
2456136.88352,11.814,ROE
2456139.86147,11.785,ROE
2456145.85064,11.777,ROE
2456147.832,11.864,ROE
2456161.93515,11.756,ROE
2456170.88096,11.787,MZK
2456199.88576,11.796,ROE
2456206.85431,11.826,ROE
2456224.89781,11.772,ROE
2456240.81559,11.672,ROE
2456247.74766,11.654,ROE
2456248.76722,11.669,ROE
2456251.77649,11.621,ROE
2456252.75156,11.661,ROE
2456253.77422,11.667,ROE
2456261.77693,11.662,ROE
2456262.75387,11.96,ROE
2456266.732,11.757,ROE
2456267.76193,11.663,ROE
2456301.51116,11.627,MZK
2456454.91536,11.634,MJB
2456462.90369,11.657,MJB
2456464.88378,11.609,MJB
2456465.86675,11.625,MJB
2456477.86642,12.38,MJB
2456478.82782,11.804,MJB
2456479.86573,11.976,MJB
2456480.82466,13.457,MJB
2456481.86373,11.802,MJB
2456482.88119,11.762,MJB
2456483.83682,11.774,MJB
2456483.92231,11.769,MJB
2456484.92014,11.617,MJB
2456485.83294,11.772,MJB
2456485.91836,11.703,MJB
2456486.91376,11.76,MJB
2456487.83404,11.706,MJB
2456487.91162,11.704,MJB
2456488.87752,11.659,MJB
2456488.90814,11.674,MJB
2456489.81183,11.722,MJB
2456489.81259,11.721,MJB
2456489.81454,11.719,MJB
2456490.8953,11.745,MJB
2456490.89676,11.749,MJB
2456490.89869,11.752,MJB
2456490.90017,11.75,MJB
2456490.90157,11.748,MJB
2456490.9035,11.745,MJB
2456491.86708,11.643,MJB
2456491.86852,11.663,MJB
2456491.87044,11.659,MJB
2456491.87193,11.653,MJB
2456491.87332,11.651,MJB
2456491.87525,11.687,MJB
2456501.76646,11.676,MJB
2456506.78324,11.666,MJB
2456508.77115,11.709,MJB
2456511.83471,11.666,MJB
2456514.80296,11.664,MJB
2456525.78395,11.625,MJB
2456527.72572,11.566,MJB
2456528.80388,11.648,MJB
2456529.69866,11.652,MJB
2456529.85237,11.622,MZK
2456530.69331,11.639,MJB
2456531.70834,11.615,MJB
2456532.70046,11.669,MJB
2456533.78837,11.719,MJB
2456534.73822,11.597,MJB
2456540.84327,11.658,MJB
2456542.79639,11.639,MJB
2456543.74838,11.638,MJB
2456544.74281,11.649,MJB
2456544.91317,11.629,MJB
2456545.74515,11.755,MJB
2456546.7497,11.818,MJB
2456547.92818,12.189,MJB
2456549.65586,11.604,MJB
2456551.67567,12.728,MJB
2456551.76474,12.634,MJB
2456552.82367,11.719,MZK
2456557.89244,11.595,MJB
2456558.72601,11.7,MJB
2456559.74181,11.725,MJB
2456560.72634,11.629,MJB
2456560.83258,11.607,MJB
2456561.62012,11.77,NLZ
2456561.75748,11.696,MJB
2456562.66892,11.669,NLZ
2456562.71618,11.767,MJB
2456563.72612,11.618,MJB
2456565.59765,11.685,NLZ
2456567.65911,11.755,NLZ
2456571.55649,11.774,NLZ
2456574.734,11.691,MJB
2456575.74322,11.665,MJB
2456576.74213,11.578,MJB
2456577.69448,11.624,MJB
2456581.53694,11.732,NLZ
2456583.69027,11.698,MJB
