## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
---------|-----|-----|-----|-----|-----|--|-
 7499.206|11.68| 0.13| 0.73| 0.59|99.99|86|*
 7505.178|11.62| 0.17| 0.73| 0.58|99.99|86|*
 7736.439|11.63| 0.17| 0.72| 0.58|99.99|86|*
 7737.417|11.61| 0.09| 0.69| 0.58|99.99|86|*
 7739.456|11.78|99.99| 0.71|99.99|99.99|86|*
 7740.429|11.63| 0.20| 0.73| 0.59|99.99|86|*
 7741.417|11.56| 0.10| 0.72| 0.57|99.99|86|*
 7742.412|11.59| 0.09| 0.74| 0.56|99.99|86|*
 7743.402|11.62| 0.22| 0.70| 0.58|99.99|86|*
 7744.395|11.60| 0.16| 0.72| 0.59|99.99|86|*
 7745.369|11.60| 0.19| 0.71| 0.57|99.99|86|*
 7746.390|11.57| 0.13| 0.74| 0.58|99.99|86|*
 7748.406|11.64| 0.13| 0.74| 0.58|99.99|86|*
 7749.410|11.66| 0.18| 0.75| 0.58|99.99|86|*
 7750.387|11.62| 0.13| 0.72| 0.60|99.99|86|*
 7751.359|11.65| 0.15| 0.71|99.99|99.99|86|*
 7752.377|11.67| 0.14| 0.72| 0.59|99.99|86|*
 7753.311|11.59| 0.18| 0.71| 0.55|99.99|86|*
 7755.339|11.60| 0.52| 0.17| 0.56|99.99|86|*
 7756.349|11.58| 0.26| 0.52| 0.58|99.99|86|*
 7757.340|11.54| 0.01| 0.88| 0.59|99.99|86|*
 7758.341|11.56|-0.07| 0.82| 0.57|99.99|86|*
 7759.331|11.63| 0.08| 0.74| 0.61|99.99|86|*
 7763.295|11.62| 0.17| 0.72| 0.58|99.99|86|*
 7764.322|11.67| 0.12| 0.74| 0.57|99.99|86|*
 7765.409|11.64| 0.15| 0.67| 0.58|99.99|86|*
 7766.375|11.66| 0.14| 0.73| 0.59|99.99|86|*
 7770.324|11.62| 0.04| 0.72| 0.58|99.99|86|*
 7771.332|11.62| 0.06| 0.73| 0.58|99.99|86|*
 7772.350|11.62| 0.10| 0.70| 0.59|99.99|86|*
 7773.342|13.79| 0.06| 0.74| 0.59|99.99|86|*
 7773.427|13.70| 0.05| 0.76| 0.65|99.99|86|*
 7773.480|13.60|99.99| 0.87| 0.65|99.99|86|*
 7774.199|12.45|99.99| 0.83|99.99|99.99|86|*
 7774.346|12.08| 0.21| 0.81| 0.64|99.99|86|*
 7774.485|11.90|99.99| 0.77| 0.62|99.99|86|*
 7775.359|11.64| 0.15| 0.73| 0.58|99.99|86|*
 7776.343|11.61| 0.10| 0.73| 0.56|99.99|86|*
 7777.328|11.62| 0.10| 0.73| 0.58|99.99|86|*
 7778.289|11.62| 0.17| 0.71| 0.58|99.99|86|*
 7778.319|11.69|99.99| 0.71| 0.58|99.99|86|*
 7779.313|11.62| 0.12| 0.70| 0.60|99.99|86|*
 7780.307|11.56| 0.08| 0.73| 0.56|99.99|86|*
 7781.350|11.65|99.99| 0.69| 0.60|99.99|86|*
 7783.349|11.59|99.99| 0.71|99.99|99.99|86|*
 7784.313|11.57|99.99| 0.73|99.99|99.99|86|*
 7785.332|11.64|99.99| 0.71|99.99|99.99|86|*
 7786.361|11.74|99.99| 0.73|99.99|99.99|86|*
 7787.295|11.61|99.99| 0.71| 0.60|99.99|86|*
 7788.343|11.64|99.99| 0.72| 0.55|99.99|86|*
 7789.284|11.89|99.99| 0.80| 0.63|99.99|86|*
 7791.352|11.75|99.99| 0.76| 0.57|99.99|86|*
 7794.279|11.65|99.99| 0.74| 0.57|99.99|86|*
 7800.312|11.66|99.99| 0.74| 0.60|99.99|86|*
 7800.317|12.01|99.99| 1.00| 0.77|99.99|86|*
 7806.368|11.60| 0.16| 0.71| 0.60|99.99|86|*
 7807.362|11.64| 0.10| 0.74| 0.58|99.99|86|*
 7808.367|11.68|99.99| 0.71| 0.59|99.99|86|*
 7817.381|11.65| 0.13| 0.74| 0.61|99.99|86|*
 7818.381|11.71|99.99| 0.69| 0.62|99.99|86|*
 7826.280|11.84|99.99| 0.85| 0.67|99.99|86|*
 7828.280|11.69|99.99| 0.74| 0.56|99.99|86|*
 7832.337|11.87| 0.17| 0.76| 0.59|99.99|86|*
 7833.326|11.63| 0.22| 0.76| 0.59|99.99|86|*
 7835.284|11.79| 0.32| 0.80| 0.65|99.99|86|*
 7843.268|11.85|99.99| 0.82| 0.62|99.99|86|*
 7844.326|11.96|99.99| 0.70| 0.42|99.99|86|*
