JD,flux,obs
 2414631.5989999999292195,      1.0000000,Plates
 2414640.5000000000000000,      1.4060469,Plates
 2414675.4799999999813735,      0.5915614,Plates
 2414984.7030000002123415,      1.9952632,Plates
 2415019.4950000001117587,      0.6251727,Plates
 2415019.5899999998509884,      1.4060469,Plates
 2415024.4730000002309680,      1.0000000,Plates
 2415052.5479999999515712,      0.8241379,Plates
 2415262.7639999999664724,      1.0000000,Plates
 2415281.8209999999962747,      1.4454391,Plates
 2415372.4909999999217689,      0.4207267,Plates
 2415403.5619999999180436,      1.0000000,Plates
 2415407.6099999998696148,      1.1481534,Plates
 2415424.4780000001192093,      0.4207267,Plates
 2415430.5219999998807907,      0.4207267,Plates
 2415434.4909999999217689,      0.5861383,Plates
 2415621.7850000001490116,      1.0000000,Plates
 2415652.7459999998100102,      0.5861383,Plates
 2415662.7450000001117587,      1.4454391,Plates
 2415689.5000000000000000,      1.0000000,Plates
 2415699.6000000000931323,      1.0000000,Plates
 2415716.6179999997839332,      0.6792040,Plates
 2415717.6049999999813735,      1.0000000,Plates
 2415721.6589999999850988,      0.6792040,Plates
 2415723.6260000001639128,      1.0000000,Plates
 2415724.6880000000819564,      0.7112139,Plates
 2415746.4670000001788139,      1.0000000,Plates
 2415753.5910000000149012,      0.7112139,Plates
 2415755.5600000000558794,      0.7112139,Plates
 2415759.6239999998360872,      0.4830588,Plates
 2415762.5440000002272427,      0.6729767,Plates
 2415767.5180000001564622,      1.4454391,Plates
 2415773.5269999997690320,      1.8197018,Plates
 2415777.5729999998584390,      0.7112139,Plates
 2415792.5000000000000000,      0.6792040,Plates
 2415796.4969999999739230,      1.0000000,Plates
 2415976.7639999999664724,      1.7060819,Plates
 2416029.7349999998696148,      1.7060819,Plates
 2416031.7299999999813735,      1.7060819,Plates
 2416033.7360000000335276,      1.2133892,Plates
 2416048.6749999998137355,      0.8241379,Plates
 2416048.7530000000260770,      1.7060819,Plates
 2416051.6860000002197921,      1.5416994,Plates
 2416052.6559999999590218,      1.0000000,Plates
 2416054.6549999997951090,      0.6486341,Plates
 2416074.6269999998621643,      1.0000000,Plates
