mjd,w1mpro_ep,w1sigmpro_ep,w2mpro_ep,w2sigmpro_ep,w3mpro_ep,w3sigmpro_ep,w4mpro_ep,w4sigmpro_ep
55209.5429301,9.332,0.024,8.908,0.031,6.319,0.022,5.068,0.047
55209.6753621,9.327,0.023,8.978,0.021,6.288,0.021,5.001,0.056
55209.8076669,9.329,0.022,8.957,0.021,6.286,0.02,5.046,0.05
55209.8738829,9.296,0.023,8.922,0.023,6.269,0.02,5.052,0.057
55209.9399716,9.335,0.022,8.954,0.022,6.3,0.022,5.1,0.063
55210.0061876,9.349,0.022,8.934,0.023,6.306,0.02,5.083,0.047
55210.0722763,9.367,0.033,8.934,0.024,6.257,0.019,5.111,0.071
55210.0724037,9.395,0.024,8.913,0.025,6.308,0.028,5.054,0.057
55210.1384924,9.346,0.023,8.971,0.022,6.308,0.024,5.018,0.059
55210.2707971,9.349,0.031,8.915,0.022,6.322,0.02,5.095,0.049
55210.4032291,9.368,0.022,8.938,0.028,6.33,0.018,5.015,0.081
55396.3304206,9.252,0.02,8.823,0.026,6.082,0.018,4.965,0.045
55396.4627244,9.255,0.018,8.791,0.022,6.085,0.014,5.016,0.061
55396.5950281,9.254,0.02,8.751,0.017,-1,-1,-1,-1
55396.6612436,9.284,0.021,8.877,0.026,6.122,0.024,4.925,0.052
55396.7273318,9.282,0.02,8.808,0.02,6.093,0.019,4.95,0.042
55396.79342,9.254,0.025,8.81,0.023,6.126,0.016,4.902,0.05
55396.7935474,9.324,0.028,8.884,0.018,6.063,0.015,4.935,0.061
55396.8596356,9.27,0.027,8.852,0.029,6.055,0.017,4.948,0.042
55396.9257238,9.279,0.025,8.868,0.022,6.122,0.019,5.041,0.052
55396.9919394,9.289,0.021,8.787,0.02,6.134,0.023,4.864,0.058
55397.0580276,9.239,0.021,8.793,0.018,6.082,0.016,4.92,0.052
55397.1903313,9.251,0.025,8.755,0.025,6.049,0.014,4.868,0.042
55397.322635,9.261,0.021,8.826,0.019,6.028,0.015,5.03,0.055
55572.0305762,9.352,0.027,8.954,0.023,-1,-1,-1,-1
55572.1628806,9.392,0.025,8.989,0.022,-1,-1,-1,-1
55572.295185,9.421,0.025,9.04,0.026,-1,-1,-1,-1
55572.3612735,9.407,0.022,-1,-1,-1,-1,-1,-1
55572.427362,9.38,0.025,-1,-1,-1,-1,-1,-1
55572.4935779,9.396,0.024,-1,-1,-1,-1,-1,-1
55572.5596664,9.393,0.023,-1,-1,-1,-1,-1,-1
55572.6257549,9.483,0.027,-1,-1,-1,-1,-1,-1
55572.7580594,9.396,0.023,-1,-1,-1,-1,-1,-1
55574.874293,9.412,0.026,-1,-1,-1,-1,-1,-1
55574.9403815,9.364,0.02,-1,-1,-1,-1,-1,-1
55575.00647,9.399,0.03,-1,-1,-1,-1,-1,-1
55575.0726859,9.44,0.036,-1,-1,-1,-1,-1,-1
55575.1387745,9.492,0.028,-1,-1,-1,-1,-1,-1
55575.2710788,9.48,0.031,-1,-1,-1,-1,-1,-1
55575.4032559,9.361,0.022,8.995,0.029,-1,-1,-1,-1
56672.70711946,9.323,0.013,8.89,0.014,-1,-1,-1,-1
56673.03654332,9.299,0.014,8.89,0.013,-1,-1,-1,-1
57036.3335014,9.208,0.015,8.77,0.014,-1,-1,-1,-1
57036.20208834,9.2,0.016,8.771,0.012,-1,-1,-1,-1
56673.16833833,9.312,0.013,8.881,0.014,-1,-1,-1,-1
56673.30000597,9.309,0.014,8.883,0.015,-1,-1,-1,-1
57035.93938964,9.21,0.019,8.78,0.013,-1,-1,-1,-1
57035.7422701,9.204,0.015,8.784,0.014,-1,-1,-1,-1
56672.64128564,9.339,0.018,8.859,0.015,-1,-1,-1,-1
56672.44352946,9.297,0.017,8.86,0.013,-1,-1,-1,-1
57036.07067534,9.16,0.02,8.776,0.013,-1,-1,-1,-1
57036.00496885,9.228,0.016,8.788,0.013,-1,-1,-1,-1
56672.57532446,9.314,0.015,8.908,0.013,-1,-1,-1,-1
56672.83891446,9.321,0.014,8.924,0.014,-1,-1,-1,-1
57036.0708027,9.201,0.019,8.776,0.014,-1,-1,-1,-1
57035.61085705,9.212,0.016,8.771,0.012,-1,-1,-1,-1
56672.31186182,9.312,0.018,8.884,0.015,-1,-1,-1,-1
56672.90474832,9.305,0.015,8.893,0.013,-1,-1,-1,-1
57036.00509617,9.158,0.017,8.724,0.013,-1,-1,-1,-1
57035.47944404,9.21,0.016,8.775,0.015,-1,-1,-1,-1
56672.77295328,9.292,0.015,8.924,0.013,-1,-1,-1,-1
57035.80797659,9.224,0.018,8.786,0.014,-1,-1,-1,-1
56862.05072345,9.133,0.016,8.647,0.013,-1,-1,-1,-1
56856.78798716,9.16,0.015,8.672,0.013,-1,-1,-1,-1
57223.06024145,9.228,0.014,8.797,0.012,-1,-1,-1,-1
56862.31393024,9.151,0.019,8.687,0.015,-1,-1,-1,-1
56861.59027062,9.127,0.016,8.653,0.011,-1,-1,-1,-1
57223.45384219,9.229,0.015,8.805,0.012,-1,-1,-1,-1
57224.04430771,9.224,0.015,8.819,0.013,-1,-1,-1,-1
56861.32706382,9.139,0.015,8.638,0.012,-1,-1,-1,-1
56862.18226318,9.139,0.016,8.666,0.013,-1,-1,-1,-1
57223.78186466,9.232,0.014,8.756,0.015,-1,-1,-1,-1
57223.58512738,9.225,0.018,8.83,0.016,-1,-1,-1,-1
56861.9191837,9.125,0.014,8.645,0.014,-1,-1,-1,-1
56861.19552407,9.134,0.014,8.627,0.012,-1,-1,-1,-1
57223.58500002,9.224,0.019,8.779,0.016,-1,-1,-1,-1
57223.65070631,9.236,0.015,8.775,0.014,-1,-1,-1,-1
56861.45873088,9.104,0.016,8.628,0.015,-1,-1,-1,-1
56861.8533501,9.155,0.015,8.626,0.015,-1,-1,-1,-1
57223.19139924,9.201,0.014,8.808,0.013,-1,-1,-1,-1
57223.32268439,9.216,0.014,8.786,0.013,-1,-1,-1,-1
56861.78764391,9.156,0.015,8.66,0.014,-1,-1,-1,-1
56862.31380293,9.158,0.017,8.671,0.015,-1,-1,-1,-1
57223.91302255,9.241,0.015,8.779,0.013,-1,-1,-1,-1
57223.5194211,9.228,0.014,8.794,0.012,-1,-1,-1,-1
56861.72181031,9.147,0.017,8.666,0.014,-1,-1,-1,-1
56861.65597681,9.171,0.014,8.644,0.013,-1,-1,-1,-1
57035.87368311,9.2,0.015,8.767,0.014,-1,-1,-1,-1
57223.71628579,9.224,0.016,8.809,0.012,-1,-1,-1,-1
