wav,fnu
0.42,1.616
0.532,2.174
1.24,3.229
1.65,2.444
2.16,1.689
3.35,0.8768
5.1870,0.692853
5.2172,0.661419
5.2475,0.653901
5.2777,0.658682
5.3080,0.658005
5.3382,0.654896
5.3685,0.650042
5.3987,0.650750
5.4289,0.649890
5.4592,0.635451
5.4894,0.627523
5.5197,0.608159
5.5499,0.596944
5.5802,0.605796
5.6104,0.593514
5.6406,0.600847
5.6709,0.594400
5.7011,0.597672
5.7314,0.598545
5.7616,0.600978
5.7918,0.611440
5.8221,0.613521
5.8523,0.620949
5.8826,0.614972
5.9128,0.614233
5.9430,0.627929
5.9733,0.613050
6.0035,0.616556
6.0338,0.624353
6.0640,0.619487
6.0943,0.612391
6.1245,0.608873
6.1547,0.608988
6.1850,0.596602
6.2152,0.593890
6.2455,0.597050
6.2757,0.591646
6.3060,0.587553
6.3362,0.599081
6.3664,0.597018
6.3967,0.595477
6.4269,0.591358
6.4572,0.595309
6.4874,0.598711
6.5177,0.604597
6.5479,0.609941
6.5781,0.616500
6.6084,0.630170
6.6386,0.641177
6.6689,0.630797
6.6991,0.633582
6.7294,0.619247
6.7596,0.605540
6.7898,0.614967
6.8201,0.628612
6.8503,0.622929
6.8806,0.600917
6.9108,0.601419
6.9410,0.604119
6.9713,0.605889
7.0015,0.616339
7.0318,0.615632
7.0620,0.630503
7.0922,0.651608
7.1225,0.658500
7.1527,0.656807
7.1830,0.665325
7.2132,0.681930
7.2435,0.692832
7.2737,0.696734
7.3039,0.709202
7.3342,0.697665
7.3644,0.687370
7.3947,0.691764
7.4249,0.686325
7.4552,0.678306
7.4854,0.700854
7.5156,0.699488
7.5459,0.705253
7.5761,0.725197
7.6366,0.756373
7.6971,0.757623
7.7576,0.766121
7.8180,0.768749
7.8785,0.773240
7.9390,0.805105
7.9995,0.840930
8.0600,0.858054
8.1205,0.878288
8.1810,0.912474
8.2414,0.959459
8.3019,1.009960
8.3624,1.066680
8.4229,1.105400
8.4834,1.145880
8.5439,1.189880
8.6043,1.234600
8.6648,1.260710
8.7253,1.297370
8.7858,1.324470
8.8463,1.373090
8.9068,1.409290
8.9672,1.470950
9.0277,1.546940
9.0882,1.625420
9.1487,1.690770
9.2092,1.751730
9.2697,1.801430
9.3301,1.837550
9.3906,1.862040
9.4511,1.931740
9.5116,2.013790
9.5721,2.068100
9.6326,2.146320
9.6931,2.251750
9.7535,2.374870
9.8140,2.462960
9.8745,2.526780
9.9350,2.559610
9.9473,2.358180
9.9550,2.372200
9.9626,2.312320
9.9703,2.446480
9.9780,2.424940
9.9857,2.420370
9.9944,2.482200
10.0010,2.448270
10.0087,2.404440
10.0164,2.325910
10.0241,2.360180
10.0318,2.406390
