col1,col2,col3
2456187.750391,15.79439,0.03274
2456187.772972,15.82141,0.03147
2456187.81353,15.84297,0.03174
2456187.836188,15.77145,0.03054
2456187.858746,15.76998,0.03064
2456187.88134,15.80051,0.02957
2456187.921069,15.867117858402128,0.03129
2456187.943731,15.864497729697415,0.03049
2456187.984338,15.834506256470569,0.03226
2456187.995083,15.751352171815272,0.03107
2456188.008318,15.810695086829648,0.04374
2456188.740304,15.76396,0.03392
2456188.762846,15.75604,0.03322
2456188.818774,15.77224,0.03142
2456188.841323,15.7803,0.03106
2456188.863833,15.7512,0.03067
2456188.884124,15.77453,0.03004
2456188.924056,15.798664495868694,0.03029
2456188.94444,15.816865389924333,0.03078
2456188.982838,15.790834111228273,0.02828
2456188.996085,15.789294035577413,0.031
2456189.009329,15.840536552687905,0.04656
2456189.749026,15.7495,0.02966
2456189.771611,15.68795,0.02912
2456189.807265,15.77202,0.03111
2456189.827553,15.79328,0.02872
2456189.850183,15.7888,0.02936
2456189.872781,15.72687,0.02857
2456189.910132,15.751032156095611,0.02912
2456189.932916,15.739431586257952,0.03139
2456189.953268,15.824895784389541,0.02802
2456189.973626,15.785473847923976,0.0312
2456189.991392,15.782283691218618,0.02992
2456190.004678,15.795994364707784,0.03403
2456190.983798,15.767122946499745,0.02743
2456190.997075,15.77269322012007,0.02864
2456191.010345,15.727801014946573,0.04622
2456192.799794,15.7342,0.02449
2456192.812966,15.74404,0.02493
2456192.87149,15.71723,0.02334
2456193.009688,15.787473946171849,0.03645
2456193.916868,17.30462847111302,0.02358
2456193.93242,17.28627756968879,0.02352
2456193.950336,17.123319564943383,0.02214
2456193.999319,16.964671771922138,0.02785
2456194.762069,15.8152,0.03916
2456194.779824,15.7952,0.04101
2456194.851562,15.81913,0.02461
2456194.871775,15.803,0.025
2456194.891299,15.847876913257595,0.02565
2456194.909302,15.838676461317382,0.02517
2456194.924882,15.82431575589766,0.0276
2456194.958381,15.832336149871628,0.02656
2456194.973847,15.845576800272543,0.0284
2456194.99179,15.837986427421866,0.02986
2456195.00506,15.83542630166459,0.03023
2456195.758337,16.44402,0.04056
2456195.800097,16.32851,0.0429
2456195.901985,16.547321271029833,0.02759
2456195.915182,16.67176738401246,0.03089
2456195.9308,16.78558297480764,0.0304
2456195.948747,16.564852132172437,0.02726
2456195.964183,16.542911054393276,0.0284
2456195.995366,16.554641630617045,0.02689
2456196.799625,15.90137,0.04913
2456196.815232,15.9015,0.04853
2456196.830855,15.95888,0.04764
2456196.848819,15.92512,0.0471
2456197.859699,15.78486,0.05688
2456207.721995,16.38938,0.03058
2456207.770809,16.34105,0.0335
2456207.788684,16.31224,0.03045
2456207.804165,16.26666,0.03054
2456207.883887,16.23686602099507,0.03094
2456207.893702,16.18680356185082,0.03167
2456207.903486,16.12316043560352,0.03306
2456207.940344,16.108009691375887,0.04992
2456207.955034,16.065827619328257,0.03791
2456208.720852,15.82579,0.02925
2456208.769536,15.80891,0.02808
2456208.787416,15.84377,0.02889
2456208.802934,15.83529,0.02995
2456208.818409,15.81428,0.03053
2456208.833886,15.8005,0.03086
2456208.86177,15.790634101403485,0.029
2456208.871498,15.842266637672315,0.0302
